Window_type,energy_exact,error,error_rel,w
3,202.5349094835886,9.497849363952412,0.046894875496621594,"(1, 1, 1)"
3,202.5349094835886,0.15395423766469207,0.0007601367984276656,"(2, 2, 2)"
3,202.5349094835886,0.0005578713168574723,2.7544452375143586e-6,"(3, 3, 3)"
3,202.5349094835886,2.6665798031899612e-6,1.3166025600174544e-8,"(4, 4, 4)"
3,202.5349094835886,2.1814315687151975e-8,1.0770644795394934e-10,"(5, 5, 5)"
3,202.5349094835886,1.2138912097725552e-10,5.993491259692773e-13,"(6, 6, 6)"
3,202.5349094835886,3.268496584496461e-12,1.6137941813736103e-14,"(7, 7, 7)"
3,202.5349094835886,4.547473508864641e-13,2.2452788610415448e-15,"(8, 8, 8)"
3,202.5349094835886,3.097966327914037e-12,1.5295962240845523e-14,"(9, 9, 9)"
3,202.5349094835886,4.519051799434237e-12,2.231245868160035e-14,"(10, 10, 10)"
3,202.5349094835886,1.3073986337985843e-12,6.4551767254944406e-15,"(11, 11, 11)"
3,202.5349094835886,0.0,0.0,"(12, 12, 12)"
