preset,M_mid,E_exact,E_0
4,60,0.0,2.7752698868447446e-9
4,61,0.0,2.0896413276632063e-9
4,62,0.0,1.5722620624543844e-9
4,63,0.0,1.200708300034512e-9
4,64,0.0,9.015049798723963e-10
4,65,0.0,6.774225030806491e-10
4,66,0.0,5.430900504519422e-10
4,67,0.0,3.9171460219977285e-10
4,68,0.0,3.043235334395509e-10
4,69,0.0,2.4397816266978053e-10
4,70,0.0,2.2744718837406165e-10
4,71,0.0,2.574735819510201e-10
4,72,0.0,4.483843912953843e-11
4,73,0.0,2.154878330760526e-10
4,74,0.0,1.8549801245107583e-10
4,75,0.0,2.565958311034598e-10
4,76,0.0,8.944281136639413e-10
4,77,0.0,8.774582639444423e-10
4,78,0.0,-7.150743571457877e-10
5,1,0.6948943563831069,0.0012881567950769179
5,2,0.5715949160240266,0.0015421268270019313
5,3,0.47069823169942804,0.0018511055801856769
5,4,0.3882042508470078,0.0022342257070039895
5,5,0.32067371154260343,0.0026920913482536874
5,6,0.26513594459658263,0.003180394768735531
5,7,0.2189870803684868,0.0036034913275462144
5,8,0.17990176035976996,0.0038474251331245516
5,9,0.14588738636365395,0.0038396779569193013
5,10,0.1154409939355023,0.003587743767691049
5,11,0.08780367556428974,0.0031756888805594486
5,12,0.0632975096451097,0.0027364124581223887
5,13,0.0429468575833646,0.002369016486620413
5,14,0.027230760810015422,0.0020519577515362357
5,15,0.015570032143583212,0.0017162550195559396
5,16,0.007358055312165563,0.0013733774724494132
5,17,0.0025178294736638678,0.001087434217856587
5,18,0.0005237411590167469,0.0008860646921506799
5,19,5.1318474703679386e-5,0.0007500984257612457
5,20,1.5900986765883308e-6,0.0006492711298833886
5,21,8.547957868663612e-9,0.0005639190168111145
5,22,3.335521236118171e-12,0.0004862566693850923
5,23,2.6440363803306888e-17,0.00041490258052191416
5,24,6.468482776403266e-25,0.0003505002785576559
5,25,2.981747152390323e-36,0.00029369739563012815
5,26,4.0863012240110987e-53,0.0002445957792682391
5,27,3.527915804621666e-78,0.00020280217980831445
5,28,2.0673843363394444e-115,0.00016762510823201376
5,29,1.0659628426977719e-170,0.00013824951508216123
5,30,8.886133365915319e-253,0.00011385208335076469
5,31,0.0,9.366483107737581e-5
5,32,0.0,7.700374111906666e-5
5,33,0.0,6.327666032351368e-5
5,34,0.0,5.198015473574611e-5
5,35,0.0,4.269121763762119e-5
5,36,0.0,3.5057157596936206e-5
5,37,0.0,2.8785413835914087e-5
5,38,0.0,2.363413264097112e-5
5,39,0.0,1.940383552716612e-5
5,40,0.0,1.593024687922168e-5
5,41,0.0,1.307822089065098e-5
5,42,0.0,1.0736653214698957e-5
5,43,0.0,8.81424674829122e-6
5,44,0.0,7.236004030076777e-6
5,45,0.0,5.940330227348453e-6
5,46,0.0,4.876645184636513e-6
5,47,0.0,4.003417721248905e-6
5,48,0.0,3.286548933915933e-6
5,49,0.0,2.698043366014458e-6
5,50,0.0,2.214917210301653e-6
5,51,0.0,1.8183015073910951e-6
5,52,0.0,1.4927056828997906e-6
5,53,0.0,1.225412755672465e-6
5,54,0.0,1.0059828025921839e-6
5,55,0.0,8.258452641183298e-7
5,56,0.0,6.779642411104982e-7
5,57,0.0,5.565636994156463e-7
5,58,0.0,4.5690189147631257e-7
5,59,0.0,3.750861366913679e-7
5,60,0.0,3.0792082762057843e-7
5,61,0.0,2.5278257842689407e-7
5,62,0.0,2.0751769921298584e-7
5,63,0.0,1.7035821435342964e-7
5,64,0.0,1.398528433251378e-7
5,65,0.0,1.148099444021635e-7
5,66,0.0,9.425130212362072e-8
5,67,0.0,7.737414994391771e-8
5,68,0.0,6.35191838289665e-8
5,69,0.0,5.2145036121488294e-8
5,70,0.0,4.2807563249692017e-8
5,71,0.0,3.514212295333532e-8
5,72,0.0,2.8849425980105234e-8
5,73,0.0,2.3683372507527763e-8
5,74,0.0,1.944248728620721e-8
5,75,0.0,1.596087540595468e-8
5,76,0.0,1.3102604633218453e-8
5,77,0.0,1.0756926926326631e-8
5,78,0.0,8.830204956337185e-9
5,79,0.0,7.248532216176015e-9
5,80,0.0,5.9513101816713505e-9
5,81,0.0,4.8851337711443205e-9
5,82,0.0,4.012149979293886e-9
5,83,0.0,3.293977207372401e-9
5,84,0.0,2.6988164165365433e-9
5,85,0.0,2.2155094277176533e-9
5,86,0.0,1.8220896116317345e-9
5,87,0.0,1.5019459906506089e-9
5,88,0.0,1.2245310066315781e-9
5,89,0.0,1.0030269229545394e-9
5,90,0.0,8.366748508658725e-10
5,91,0.0,6.913476545476733e-10
5,92,0.0,5.717358150915923e-10
5,93,0.0,4.5416291770848966e-10
5,94,0.0,3.7913350671807524e-10
5,95,0.0,3.334538896929582e-10
5,96,0.0,2.8144715197501067e-10
5,97,0.0,2.224184074765808e-10
5,98,0.0,1.5484987869042885e-10
5,99,0.0,8.437380022173343e-11
5,100,0.0,1.2654241385660932e-10
5,101,0.0,1.5122915644424263e-10
5,102,0.0,1.2493320396941543e-10
5,103,0.0,1.8235273858065144e-10
5,104,0.0,1.6896703815535692e-10
5,105,0.0,6.392952006397487e-11
5,106,0.0,1.0430605905174848e-10
5,107,0.0,2.1022132799069085e-10
5,108,0.0,2.851227336491694e-10
5,109,0.0,2.4606282093273623e-10
5,110,0.0,4.79544546383775e-10
5,111,0.0,-5.5298303396298575e-11
5,112,0.0,-4.900775565544985e-10
5,113,0.0,1.263961220486826e-10
5,114,0.0,-2.0188269493886803e-10
5,115,0.0,-9.187125537797762e-11
5,116,0.0,2.0714920002422982e-9
5,117,0.0,2.169800095169051e-9
5,118,0.0,3.809438678411683e-9
5,119,0.0,1.4512147346330222e-9
5,120,0.0,-1.0298943278040804e-9
5,121,0.0,2.7362419754612957e-9
5,122,0.0,4.04701657448467e-9
5,123,0.0,4.2927868118015535e-9
5,124,0.0,4.662612502240292e-9
5,125,0.0,-4.077445270533428e-9
5,126,0.0,-1.4240629750818239e-8
5,127,0.0,2.415570332485934e-9
5,128,0.0,7.433964511603998e-9
5,129,0.0,-1.3669506532672339e-9
5,130,0.0,-3.1833097404853395e-9
5,131,0.0,-1.8631724657546544e-8
5,132,0.0,2.4118252622030102e-8
5,133,0.0,-9.493753167212162e-9
5,134,0.0,-1.5279886754329637e-8
5,135,0.0,1.8350844386327194e-9
5,136,0.0,-8.055646178569371e-8
5,137,0.0,-7.58751239320388e-8
5,138,0.0,4.7936899621426276e-8
5,139,0.0,4.3667519498892996e-8
5,140,0.0,-7.819706750745164e-8
5,141,0.0,1.2523515026097618e-7
5,142,0.0,2.422311458995197e-7
5,143,0.0,-4.1045970300846257e-8
5,144,0.0,-1.6538230369392068e-7
