extra_pad_ratio,M_mid,error,error_rel
2,3,1.7479351299698465e-12,5.964771386165553e-15
2,4,1.8758328224066645e-12,6.401218072958154e-15
2,5,9.663381206337363e-13,3.297597189099655e-15
2,6,1.0231815394945443e-12,3.4915734943408115e-15
2,7,8.526512829121202e-13,2.9096445786173426e-15
2,8,1.4799184100411367e-10,5.050173106953502e-13
2,9,2.7035838456868078e-8,9.225891331064609e-11
2,10,1.380296311026541e-6,4.710215956688855e-9
2,11,2.7809073685602925e-5,9.48975532052584e-8
2,12,0.0002794434246595756,9.535915348816751e-7
2,13,0.0014933876264535684,5.096136366844233e-6
2,14,0.003191961772245122,1.0892465011073059e-5
2,15,0.010422073910149265,3.556498589557685e-5
2,16,0.10807971295110974,0.00036881848083623506
2,17,0.4467107124812628,0.0015243856765713207
2,18,1.2310268713855521,0.00420083888248651
2,19,2.578121109616177,0.008797753853126826
2,20,4.402587282378136,0.01502368491642964
2,21,6.450842807412869,0.022013289815264438
2,22,8.460156766965156,0.028870007897226234
2,23,10.284839423373796,0.035096677703883514
2,24,11.892739502809604,0.04058358406624805
2,25,13.29925974888647,0.045383288342462545
2,26,14.527610910746262,0.04957499645382186
2,27,15.599487281502377,0.05323273946508758
2,28,16.534262576716117,0.05642262954612369
2,29,17.349106233665168,0.059203256839341405
2,30,18.059164419504555,0.06162630714412042
3,3,1.6200374375330284e-12,5.528324699372952e-15
3,4,1.7053025658242404e-12,5.819289157234685e-15
3,5,7.389644451905042e-13,2.5216919681350305e-15
3,6,6.821210263296962e-13,2.327715662893874e-15
3,7,4.263256414560601e-13,1.4548222893086713e-15
3,8,1.7053025658242404e-13,5.819289157234685e-16
3,9,2.842170943040401e-14,9.698815262057809e-17
3,10,1.3866952031094115e-10,4.732051966358005e-13
3,11,2.423334422019252e-8,8.26954935096466e-11
3,12,1.2593275187100517e-6,4.297413914635472e-9
3,13,2.5848051762977775e-5,8.820563011774677e-8
3,14,0.00022104308499137915,7.543022883744453e-7
3,15,0.00036257477472645405,1.2372745444340847e-6
3,16,0.0073878212861018255,2.521069818775549e-5
3,17,0.06635040916609114,0.00022641859830410546
3,18,0.2952560485337017,0.0010075515959888698
3,19,0.8745101279075129,0.002984237171287184
3,20,1.935107539757439,0.006603491104671322
3,21,3.4384514255419845,0.011733602880415129
3,22,5.179833507783485,0.017676012205819942
3,23,6.920195624695737,0.02361494093294255
3,24,8.512850981632596,0.029049825179043916
3,25,9.918003660652403,0.03384486267746401
3,26,11.146304817890893,0.03803640014969078
3,27,12.218180617496785,0.04169414121192507
3,28,13.152955911289325,0.04488403128811139
3,29,13.967799568237979,0.047664658581327735
3,30,14.677857754077365,0.05008770888610676
4,3,1.8900436771218665e-12,6.449712149268443e-15
4,4,2.0179413695586845e-12,6.886158836061045e-15
4,5,1.2789769243681803e-12,4.364466867926014e-15
4,6,1.3073986337985843e-12,4.461455020546592e-15
4,7,1.0516032489249483e-12,3.58856164696139e-15
4,8,7.105427357601002e-13,2.4247038155144523e-15
4,9,4.263256414560601e-13,1.4548222893086713e-15
4,10,3.694822225952521e-13,1.2608459840675152e-15
4,11,3.950617610826157e-12,1.3481353214260354e-14
4,12,1.4976535567257088e-9,5.110693714188742e-12
4,13,1.5639244566045818e-7,5.336840989654144e-10
4,14,5.233006561411457e-6,1.785746350990847e-8
4,15,5.465455245712292e-5,1.8650687032393176e-7
4,16,0.00014619056616993475,4.988705193154459e-7
4,17,0.006634158437918813,2.2638848400781065e-5
4,18,0.054655539104487616,0.00018651023722575112
4,19,0.24614104703601924,0.0008399482618937949
4,20,0.7414346160800278,0.00253012134539746
4,21,1.660235205253116,0.005665498265241293
4,22,2.9712548568042507,0.010139309890280172
4,23,4.493885745292573,0.015335237931101487
4,24,6.016191630406183,0.020530056908550455
4,25,7.408334447216532,0.02528069867825362
4,26,8.635449333646477,0.029468188040196585
4,27,9.707281406835193,0.03312577988746431
4,28,10.64205620108072,0.0363156682589628
4,29,11.456899856792973,0.03909629554795997
4,30,12.166958042631506,0.04151934585273608
8,3,1.7195134205394424e-12,5.867783233544975e-15
8,4,1.7905676941154525e-12,6.11025361509642e-15
8,5,9.663381206337363e-13,3.297597189099655e-15
8,6,9.947598300641403e-13,3.3945853417202333e-15
8,7,6.536993168992922e-13,2.230727510273296e-15
8,8,2.8421709430404007e-13,9.69881526205781e-16
8,9,1.9895196601282805e-13,6.789170683440467e-16
8,10,8.526512829121202e-14,2.9096445786173427e-16
8,11,0.0,0.0
8,12,1.9895196601282805e-13,6.789170683440467e-16
8,13,1.1368683772161603e-13,3.8795261048231236e-16
8,14,5.684341886080802e-14,1.9397630524115618e-16
8,15,1.0800249583553523e-12,3.685549799581968e-15
8,16,9.076757123693824e-10,3.097413642090782e-12
8,17,6.993587930992362e-8,2.386538977458255e-10
8,18,2.434533826090046e-6,8.307766950575883e-9
8,19,0.00020477301882237953,6.987812204172247e-7
8,20,0.0037540028890248323,1.281041191524334e-5
8,21,0.03108581032455504,0.00010607930967259311
8,22,0.1472930462072668,0.0005026326963366322
8,23,0.46154106958510965,0.0015749937844941637
8,24,1.0597560335638718,0.0036163827575381073
8,25,1.9248920919316674,0.006568631223521682
8,26,2.9356472099617577,0.010017799961580212
8,27,3.9477205353476847,0.013471467039069259
8,28,4.872542876189527,0.016627392989270413
8,29,5.686532071269369,0.019405104459343063
8,30,6.3965596349573275,0.021828050267033213
