n_atoms,E_exact,E_fssog,abs_error,relative_error
100,-0.07454044990654007,-0.07453604917196799,4.400734572085341e-6,5.9038207813382496e-5
284,-0.048089549395228026,-0.04813109722841791,4.154783318988109e-5,0.0008639680286545567
800,-0.3368842474792153,-0.3368214573369883,6.27901422269872e-5,0.0001863849161746904
2264,-1.184483825913567,-1.1845158575655823,3.2031652015263035e-5,2.7042709503067893e-5
6400,-0.16833455143300569,-0.16844751836100613,0.00011296692800044639,0.0006710858052537439
