preset,Nxy,E_thin_k,E_direct_k,error
1,8,0.9576501468877132,0.9646659843079728,0.007272815186173026
1,16,0.9646657763690836,0.9646659843079728,2.1555532443450867e-7
1,32,0.9646659843079731,0.9646659843079728,3.452665614891364e-16
1,64,0.9646659843079731,0.9646659843079728,3.452665614891364e-16
1,128,0.9646659843079731,0.9646659843079728,3.452665614891364e-16
1,256,0.9646659843079731,0.9646659843079728,3.452665614891364e-16
2,8,1.6863210548927758,1.7518788894576849,0.03742144217811955
2,16,1.7516961882345186,1.7518788894576849,0.00010428872924137093
2,32,1.7518788894575816,1.7518788894576849,5.893714566199382e-14
2,64,1.7518788894576882,1.7518788894576849,1.9011982471610913e-15
2,128,1.7518788894576882,1.7518788894576849,1.9011982471610913e-15
2,256,1.7518788894576882,1.7518788894576849,1.9011982471610913e-15
3,8,1.9915538290092394,2.1684330501949516,0.0815700633089917
3,16,2.1622532620610775,2.1684330501949516,0.0028498865267334436
3,32,2.1684329928715007,2.1684330501949516,2.64354257420089e-8
3,64,2.168433050194955,2.1684330501949516,1.638378311233126e-15
3,128,2.168433050194955,2.1684330501949516,1.638378311233126e-15
3,256,2.168433050194955,2.1684330501949516,1.638378311233126e-15
4,8,1.180707889115282,1.4182941777392355,0.16751552135866948
4,16,1.4004039300704185,1.4182941777392355,0.012613918853798069
4,32,1.4182914084089135,1.4182941777392355,1.9525782206653036e-6
4,64,1.4182941777392357,1.4182941777392355,1.5655751000752958e-16
4,128,1.4182941777392357,1.4182941777392355,1.5655751000752958e-16
4,256,1.4182941777392357,1.4182941777392355,1.5655751000752958e-16
5,8,1.7726410646208144,2.273081437631574,0.22015945611354382
5,16,2.2011680940384064,2.273081437631574,0.03163694111553581
5,32,2.2728379707665085,2.273081437631574,0.00010710872960150883
5,64,2.273081437631064,2.273081437631574,2.242833910249474e-13
5,128,2.273081437631593,2.273081437631574,8.400858723059876e-15
5,256,2.273081437631593,2.273081437631574,8.400858723059876e-15
6,8,1.4101376512403991,2.232314084053274,0.36830678921311394
6,16,2.0259751302000786,2.232314084053274,0.09243276084095654
6,32,2.228302313972242,2.232314084053274,0.0017971351386841207
6,64,2.2323140653948674,2.232314084053274,8.35832489199502e-9
6,128,2.2323140840532982,2.232314084053274,1.0941518810562926e-14
6,256,2.2323140840532982,2.232314084053274,1.0941518810562926e-14
