Window_type,energy_exact,error,error_rel,w
2,2.1058073174506586,0.093438825900368,0.044371973221884,"(1, 1, 1)"
2,2.1058073174506586,0.0015381540472585442,0.0007304343728469282,"(2, 2, 2)"
2,2.1058073174506586,5.295573694663602e-6,2.514747503619919e-6,"(3, 3, 3)"
2,2.1058073174506586,3.125044889529249e-8,1.4840127411621423e-8,"(4, 4, 4)"
2,2.1058073174506586,2.2527668619432006e-10,1.0697877451914521e-10,"(5, 5, 5)"
2,2.1058073174506586,1.2660983372825285e-12,6.012413038887613e-13,"(6, 6, 6)"
2,2.1058073174506586,8.881784197001252e-16,4.2177573054279986e-16,"(7, 7, 7)"
2,2.1058073174506586,3.1530333899354446e-14,1.4973038434269396e-14,"(8, 8, 8)"
2,2.1058073174506586,6.661338147750939e-15,3.163317979070999e-15,"(9, 9, 9)"
2,2.1058073174506586,1.5987211554602254e-14,7.591963149770398e-15,"(10, 10, 10)"
2,2.1058073174506586,3.1530333899354446e-14,1.4973038434269396e-14,"(11, 11, 11)"
2,2.1058073174506586,1.4654943925052066e-14,6.9592995539561976e-15,"(12, 12, 12)"
2,2.1058073174506586,5.0182080713057076e-14,2.3830328775668193e-14,"(13, 13, 13)"
2,2.1058073174506586,1.6431300764452317e-14,7.802851015041798e-15,"(14, 14, 14)"
2,2.1058073174506586,2.5757174171303632e-14,1.2231496185741196e-14,"(15, 15, 15)"
2,2.1058073174506586,6.261657858885883e-14,2.973518900326739e-14,"(16, 16, 16)"
2,2.1058073174506586,1.6431300764452317e-14,7.802851015041798e-15,"(17, 17, 17)"
2,2.1058073174506586,5.551115123125783e-14,2.636098315892499e-14,"(18, 18, 18)"
2,2.1058073174506586,7.549516567451064e-15,3.585093709613799e-15,"(19, 19, 19)"
2,2.1058073174506586,1.2434497875801753e-14,5.904860227599198e-15,"(20, 20, 20)"
2,2.1058073174506586,2.220446049250313e-15,1.0544393263569997e-15,"(21, 21, 21)"
2,2.1058073174506586,7.771561172376096e-14,3.690537642249499e-14,"(22, 22, 22)"
2,2.1058073174506586,1.865174681370263e-14,8.857290341398797e-15,"(23, 23, 23)"
2,2.1058073174506586,8.08242361927114e-14,3.8381591479394786e-14,"(24, 24, 24)"
