n_atoms,error,error_rel
1000,8.828088959317498e-5,0.012142208311807633
3164,0.00046095068014962505,0.014774992493290362
10000,0.00035484039449036093,0.015765476296864638
31624,0.00016271448591272653,0.0034635526523596315
100000,0.0002547863155405178,0.0018389692422598072
316228,0.0022371394760981335,0.06117037232151407
1000000,0.0010805378037943565,0.016684056527608383
