Window_type,energy_exact,error,error_rel,N_real
1,0.08693749149391565,0.002105974767230609,0.024224011195193,"(10, 10, 10)"
1,0.08693749149391565,0.0005723277465508048,0.006583209806448801,"(12, 12, 12)"
1,0.08693749149391565,5.766370368767704e-5,0.0006632777492977544,"(14, 14, 14)"
1,0.08693749149391565,2.486001099472057e-5,0.000285952706565733,"(16, 16, 16)"
1,0.08693749149391565,1.045507341798646e-6,1.2025966287189414e-5,"(18, 18, 18)"
1,0.08693749149391565,4.3285649772850654e-8,4.97893935390119e-7,"(20, 20, 20)"
1,0.08693749149391565,1.2096509703629632e-7,1.391403121457238e-6,"(22, 22, 22)"
1,0.08693749149391565,4.71284526681881e-9,5.4209584217743855e-8,"(24, 24, 24)"
1,0.08693749149391565,1.1125443899473453e-9,1.2797061093316766e-8,"(26, 26, 26)"
1,0.08693749149391565,4.386042917747801e-11,5.045053454360091e-10,"(28, 28, 28)"
1,0.08693749149391565,4.913569551234787e-13,5.651841877193644e-12,"(30, 30, 30)"
1,0.08693749149391565,1.7476298186380745e-13,2.0102142224340383e-12,"(32, 32, 32)"
1,0.08693749149391565,1.2045919817182948e-14,1.3855840110162353e-13,"(34, 34, 34)"
1,0.08693749149391565,1.2906342661267445e-15,1.484554297517395e-14,"(36, 36, 36)"
1,0.08693749149391565,2.3592239273284576e-16,2.7137014040640552e-15,"(38, 38, 38)"
1,0.08693749149391565,5.412337245047638e-16,6.2255502799116566e-15,"(40, 40, 40)"
