n_atoms,error,error_rel
1000,2.1474329416182842e-8,2.9535925875834036e-6
3164,6.481235553888668e-8,2.077450165056006e-6
10000,1.7997655745807103e-7,7.996316638841951e-6
31624,7.153674589212972e-8,1.522736495070005e-6
100000,1.7605886772255865e-7,1.2707387438843265e-6
316228,1.1887025280098526e-7,3.2502835426564203e-6
1000000,1.3246675678594033e-7,2.045354498921533e-6
