Window_type,energy_exact,error,error_rel,N_real
1,202.53490948359013,1.0471916371483871,0.005170425384040933,12
1,202.53490948359013,0.05028984667177383,0.0002483021164104474,16
1,202.53490948359013,0.0007623672734951015,3.764127751798118e-6,20
1,202.53490948359013,1.5361378757461353e-5,7.584558531972963e-8,24
1,202.53490948359013,2.3654678216189495e-8,1.1679309150458358e-10,28
1,202.53490948359013,6.52278231427772e-11,3.220571866306441e-13,32
1,202.53490948359013,3.808509063674137e-12,1.8804210461222793e-14,36
1,202.53490948359013,0.0,0.0,40
1,202.53490948359013,4.263256414560601e-13,2.104948932226432e-15,44
1,202.53490948359013,2.842170943040401e-14,1.4032992881509546e-16,48
1,202.53490948359013,4.263256414560601e-13,2.104948932226432e-15,52
1,202.53490948359013,2.5579538487363607e-13,1.2629693593358592e-15,56
1,202.53490948359013,3.126388037344441e-13,1.5436292169660502e-15,60
1,202.53490948359013,3.410605131648481e-13,1.6839591457811457e-15,64
