n_atoms,abs_error,relative_error
1000,1.0606680922431455e-13,1.4588494729780717e-11
3164,3.293544737077764e-13,1.0556899222026135e-11
10000,3.6853631323138145e-13,1.6373982784930804e-11
31624,1.0114530668140003e-13,2.152986522773332e-12
100000,5.051897256341877e-13,3.6463040213759115e-12
316228,1.6603266730899955e-12,4.539851084537417e-11
1000000,6.097760344396404e-12,9.415253952288395e-11
