Window_type,energy_exact,error,error_rel,w
3,18.84581385073342,0.8823170454522753,0.04681766743747913,"(1, 1, 1)"
3,18.84581385073342,0.013654540225612521,0.0007245396953276777,"(2, 2, 2)"
3,18.84581385073342,4.8708859203827615e-5,2.584598340492046e-6,"(3, 3, 3)"
3,18.84581385073342,2.1092106905484798e-7,1.119193210361884e-8,"(4, 4, 4)"
3,18.84581385073342,1.2369305579795764e-9,6.563423409445588e-11,"(5, 5, 5)"
3,18.84581385073342,4.156675004196586e-12,2.2056224459814566e-13,"(6, 6, 6)"
3,18.84581385073342,5.648814749292796e-13,2.997384349667108e-14,"(7, 7, 7)"
3,18.84581385073342,3.517186542012496e-13,1.8662959158304634e-14,"(8, 8, 8)"
3,18.84581385073342,4.476419235288631e-13,2.375285711056953e-14,"(9, 9, 9)"
3,18.84581385073342,6.288303211476887e-13,3.336710879818101e-14,"(10, 10, 10)"
3,18.84581385073342,4.760636329592671e-13,2.5260975022351726e-14,"(11, 11, 11)"
3,18.84581385073342,3.979039320256561e-13,2.1113650764950696e-14,"(12, 12, 12)"
