n_aotms,E_exact,E_fssog,abs_error,relative_error
100,-0.0745437217923568,-0.07453604917196799,7.672620388810003e-6,0.0001029277879387651
284,-0.04807704126701662,-0.04813109722841791,5.405596140128921e-5,0.001124361233068942
800,-0.3368573429163506,-0.3368214573369883,3.588557936229364e-5,0.00010653049463494952
