extra_pad_ratio,M_mid,error,error_rel
2,1,3.4416913763379853e-15,3.1632032333830016e-15
2,2,8.43769498715119e-15,7.75494986248736e-15
2,3,9.769962616701378e-15,8.97941563024852e-15
2,4,3.3691738288155193e-9,3.096553520867482e-9
2,5,1.509548224443158e-5,1.3874015134927208e-5
2,6,0.00017943941957820897,0.00016491988680580034
2,7,0.0006492146200274274,0.0005966827238923834
2,8,0.0012917096325635313,0.0011871895645287163
2,9,0.0017291540073585132,0.0015892376593375538
2,10,0.0020084550511563215,0.0018459387601110105
2,11,0.0021825665090013935,0.0020059618029122993
2,12,0.002290050943194899,0.002104749019022594
2,13,0.00235615421285984,0.0021655034718416075
2,14,0.002396749540654053,0.0022028139852193433
2,15,0.002421666395332922,0.0022257146659218053
2,16,0.0024369568861370983,0.0022397679102900575
2,17,0.0024463393331788374,0.0022483911665830292
2,18,0.0024520963592795653,0.0022536823567524014
2,19,0.0024556288052222097,0.0022569289710491817
2,20,0.00245779626507181,0.002258921048564214
3,1,4.551914400963142e-15,4.18359137318397e-15
3,2,1.0547118733938987e-14,9.693687328109198e-15
3,3,1.3100631690576847e-14,1.2040580049651426e-14
3,4,2.4935609133081016e-13,2.2917917619929745e-13
3,5,4.459576548043742e-7,4.0987251365055753e-7
3,6,6.521545203574952e-5,5.993847390393049e-5
3,7,0.00036800829818051106,0.0003382305126832649
3,8,0.0009805070201280852,0.0009011682447029816
3,9,0.001417946269618664,0.0013032116289269095
3,10,0.0016972473134162502,0.0015599127297001624
3,11,0.0018713587712615443,0.0017199357725016552
3,12,0.001978843205455494,0.0018187229886123583
3,13,0.002044946475120213,0.0018794774414311673
3,14,0.0020855418029142037,0.0019167879548086992
3,15,0.002110458657593295,0.0019396886355113653
3,16,0.002125749148396583,0.001953741879878801
3,17,0.0021351315954389882,0.001962365136172385
3,18,0.002140888621539716,0.0019676563263417574
3,19,0.0021444210674825825,0.0019709029406387414
3,20,0.0021465885273319607,0.0019728950181535695
4,1,3.7192471324942744e-15,3.4183002683332437e-15
4,2,9.103828801926284e-15,8.36718274636794e-15
4,3,1.0103029524088925e-14,9.285532072188812e-15
4,4,1.2212453270876722e-14,1.122426953781065e-14
4,5,4.8195345492274555e-9,4.429556750593505e-9
4,6,1.5450194594146538e-5,1.4200025555051832e-5
4,7,0.00019213645994953232,0.00017658953255994664
4,8,0.0007427479117438907,0.0006826476691575446
4,9,0.0011800869141007642,0.001084598917851932
4,10,0.0014593879578985725,0.001341300018625389
4,11,0.0016334994157436444,0.0015013230614266777
4,12,0.0017409838499380381,0.001600110277537789
4,13,0.001807087119601647,0.0016608647303555776
4,14,0.0018476824473960818,0.0016981752437335176
4,15,0.001872599302075395,0.0017210759244363878
4,16,0.0018878897928789051,0.0017351291688040276
4,17,0.0018972722399210884,0.0017437524250974077
4,18,0.0019030292660222603,0.0017490436152671881
4,19,0.001906561711965571,0.0017522902295645803
4,20,0.001908729171814949,0.0017542823070794086
8,1,3.1086244689504383e-15,2.8570867914427113e-15
8,2,8.43769498715119e-15,7.75494986248736e-15
8,3,1.099120794378905e-14,1.0101842584029586e-14
8,4,1.354472090042691e-14,1.2448735305571812e-14
8,5,1.509903313490213e-14,1.3877278701293168e-14
8,6,7.498386356274978e-10,6.891646395256191e-10
8,7,6.23267958288487e-6,5.7283556407079596e-6
8,8,0.00018532227121892397,0.0001703267212068622
8,9,0.00059407350793661,0.0005460034139295021
8,10,0.0008733711865034355,0.0008027014217732445
8,11,0.0010474826443485075,0.0009627244645745333
8,12,0.001154967078542679,0.0010615116806854405
8,13,0.001221070348206288,0.001122266133503229
8,14,0.0012616656760009448,0.0011595766468813732
8,15,0.0012865825306804801,0.0011824773275844473
8,16,0.0013018730214842122,0.0011965305719522912
8,17,0.0013112554685259514,0.0012051538282452632
8,18,0.0013170124946275674,0.0012104450184154518
8,19,0.0013205449405693237,0.0012136916327114156
8,20,0.001322712400419368,0.001215683710226856
