Window_type,energy_exact,error,error_rel,w
2,2.1058073174506586,0.010076990833857824,0.004785333753164688,"(1, 1, 1)"
2,2.1058073174506586,1.3818646627417053e-5,6.562160988283696e-6,"(2, 2, 2)"
2,2.1058073174506586,1.2255178916120713e-7,5.819705732126114e-8,"(3, 3, 3)"
2,2.1058073174506586,1.2941110405506606e-9,6.145438995422158e-10,"(4, 4, 4)"
2,2.1058073174506586,2.0304646852764563e-11,9.642214975938949e-12,"(5, 5, 5)"
2,2.1058073174506586,6.661338147750939e-15,3.163317979070999e-15,"(6, 6, 6)"
2,2.1058073174506586,1.4654943925052066e-14,6.9592995539561976e-15,"(7, 7, 7)"
2,2.1058073174506586,1.687538997430238e-14,8.013738880313198e-15,"(8, 8, 8)"
2,2.1058073174506586,1.0658141036401503e-14,5.061308766513599e-15,"(9, 9, 9)"
2,2.1058073174506586,1.8207657603852567e-14,8.646402476127397e-15,"(10, 10, 10)"
2,2.1058073174506586,2.6645352591003757e-15,1.2653271916283997e-15,"(11, 11, 11)"
2,2.1058073174506586,9.769962616701378e-15,4.639533035970798e-15,"(12, 12, 12)"
2,2.1058073174506586,4.440892098500626e-16,2.1088786527139993e-16,"(13, 13, 13)"
2,2.1058073174506586,1.021405182655144e-14,4.850420901242198e-15,"(14, 14, 14)"
2,2.1058073174506586,5.773159728050814e-15,2.7415422485281993e-15,"(15, 15, 15)"
2,2.1058073174506586,1.1546319456101628e-14,5.4830844970563986e-15,"(16, 16, 16)"
2,2.1058073174506586,1.6431300764452317e-14,7.802851015041798e-15,"(17, 17, 17)"
2,2.1058073174506586,3.774758283725532e-14,1.7925468548068994e-14,"(18, 18, 18)"
2,2.1058073174506586,1.687538997430238e-14,8.013738880313198e-15,"(19, 19, 19)"
2,2.1058073174506586,3.552713678800501e-15,1.6871029221711994e-15,"(20, 20, 20)"
2,2.1058073174506586,3.907985046680551e-14,1.8558132143883194e-14,"(21, 21, 21)"
2,2.1058073174506586,4.574118861455645e-14,2.1721450122954195e-14,"(22, 22, 22)"
2,2.1058073174506586,1.3322676295501878e-14,6.326635958141998e-15,"(23, 23, 23)"
2,2.1058073174506586,4.263256414560601e-14,2.0245235066054396e-14,"(24, 24, 24)"
