n_atoms,abs_error,relative_error
1000,3.204713907049736e-8,2.3620986019208867e-6
3164,3.18683658542488e-8,2.3729774043883673e-6
10000,3.692705298466829e-8,2.035677675188435e-5
31624,3.337736396663507e-8,2.199486907906981e-6
100000,3.53132622707144e-8,2.2269926891230253e-6
316228,3.6238183458706516e-8,2.3360821270988513e-6
1000000,3.46336206330186e-8,1.5266945669814373e-6
