Window_type,energy_exact,error,error_rel,N_real
1,0.08693749149391565,0.0020974014970945587,0.024125397007128346,"(10, 10, 10)"
1,0.08693749149391565,0.0005582537917554753,0.006421323897924348,"(12, 12, 12)"
1,0.08693749149391565,5.735121070035709e-5,0.000659683293304717,"(14, 14, 14)"
1,0.08693749149391565,2.554746539856767e-5,0.0002938601627395198,"(16, 16, 16)"
1,0.08693749149391565,2.7319006565273973e-7,3.1423734565870125e-6,"(18, 18, 18)"
1,0.08693749149391565,2.96700580992848e-7,3.4128035660381654e-6,"(20, 20, 20)"
1,0.08693749149391565,1.4424930755430054e-7,1.6592301557768765e-6,"(22, 22, 22)"
1,0.08693749149391565,5.924480378505237e-9,6.814643805221668e-8,"(24, 24, 24)"
1,0.08693749149391565,1.7870896290572702e-9,2.0556029376374866e-8,"(26, 26, 26)"
1,0.08693749149391565,1.9786239313646092e-10,2.2759156002368483e-9,"(28, 28, 28)"
1,0.08693749149391565,1.3031978274291589e-11,1.4990055556415079e-10,"(30, 30, 30)"
1,0.08693749149391565,2.487621220126357e-12,2.8613906122428826e-11,"(32, 32, 32)"
1,0.08693749149391565,3.1723235149883067e-13,3.6489706115000145e-12,"(34, 34, 34)"
1,0.08693749149391565,8.761047443073267e-14,1.0077409978739048e-12,"(36, 36, 36)"
1,0.08693749149391565,6.501743587961073e-14,7.478641810611823e-13,"(38, 38, 38)"
1,0.08693749149391565,4.85722573273506e-16,5.5870323024848195e-15,"(40, 40, 40)"
