uspara,energy_exact,error,error_rel
3,1.388441506,0.022637686,0.016304386
3,1.388441506,0.014623861,0.010532573
3,1.388441506,0.009113808,0.006564056
3,1.388441506,0.005538214,0.003988799
3,1.388441506,0.003196573,0.002302274
3,1.388441506,0.001855859,0.001336649
3,1.388441506,0.001023646,0.000737263
3,1.388441506,0.000554286,0.000399214
3,1.388441506,0.00029721,0.00021406
3,1.388441506,0.000153576,0.000110611
3,1.388441506,7.79E-05,5.61E-05
3,1.388441506,3.77E-05,2.71E-05
3,1.388441506,1.79E-05,1.29E-05
3,1.388441506,8.48E-06,6.11E-06
3,1.388441506,3.77E-06,2.72E-06
3,1.388441506,1.68E-06,1.21E-06
3,1.388441506,7.27E-07,5.24E-07
3,1.388441506,3.03E-07,2.18E-07
3,1.388441506,1.21E-07,8.73E-08
3,1.388441506,4.84E-08,3.49E-08
3,1.388441506,1.90E-08,1.37E-08
3,1.388441506,7.06E-09,5.08E-09
3,1.388441506,2.69E-09,1.93E-09
3,1.388441506,9.38E-10,6.76E-10
3,1.388441506,3.28E-10,2.36E-10
3,1.388441506,1.06E-10,7.61E-11
3,1.388441506,3.44E-11,2.48E-11
3,1.388441506,1.10E-11,7.89E-12
3,1.388441506,3.42E-12,2.46E-12
3,1.388441506,1.01E-12,7.26E-13
3,1.388441506,3.00E-13,2.16E-13
3,1.388441506,8.53E-14,6.14E-14
3,1.388441506,2.35E-14,1.70E-14
3,1.388441506,5.55E-15,4.00E-15
3,1.388441506,1.33E-15,9.60E-16
3,1.388441506,2.22E-16,1.60E-16
3,1.388441506,2.22E-16,1.60E-16
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
