preset,E_ewald,E_fssog,abs_err,rel_err
1,-9.562614063504487,-9.550087928546677,0.012526134957809631,0.0013099069851219196
2,-9.562614063504487,-9.562779887610876,0.00016582410638932288,1.7340876175499653e-5
3,-9.562614063504487,-9.562618860003003,4.7964985157022966e-6,5.015886329667984e-7
4,-9.562614063504487,-9.562613066860315,9.966441716358077e-7,1.0422298390557023e-7
5,-9.562614063504487,-9.562614063113882,3.906048817725605e-10,4.084708210313492e-11
6,-9.562614063504487,-9.562614063504352,1.3500311979441904e-13,1.4117804911698316e-14
