Window_type,energy_exact,error,error_rel,w
2,202.53490948359013,18.60078312061711,0.09183988660544562,1
2,202.53490948359013,0.788339799767499,0.0038923650336505186,2
2,202.53490948359013,0.034609958941530294,0.0001708839183811642,3
2,202.53490948359013,0.0015508641597250516,7.657268387357719e-6,4
2,202.53490948359013,6.99225680307336e-5,3.4523711595703405e-7,5
2,202.53490948359013,3.154322286036404e-6,1.5574215299866488e-8,6
2,202.53490948359013,1.4227825317902898e-7,7.024875540804323e-10,7
2,202.53490948359013,6.427086418625549e-9,3.1733227792743983e-11,8
2,202.53490948359013,2.9112356969562825e-10,1.437399460853023e-12,9
2,202.53490948359013,1.3216094885137863e-11,6.525341689901939e-14,10
2,202.53490948359013,8.810729923425242e-13,4.35022779326796e-15,11
2,202.53490948359013,3.410605131648481e-13,1.6839591457811457e-15,12
