Window_type,energy_exact,error,error_rel,N_real
1,202.53490948359013,4.263056388138125,0.02104850170771932,12
1,202.53490948359013,0.11931721526406136,0.0005891192563706097,16
1,202.53490948359013,0.0037005305973991653,1.8271075375768695e-5,20
1,202.53490948359013,6.724427146309608e-5,3.320132397646954e-7,24
1,202.53490948359013,5.392196271714056e-7,2.662354003792588e-9,28
1,202.53490948359013,3.08483549815719e-9,1.523112981373283e-11,32
1,202.53490948359013,1.1539214028744027e-11,5.697395109892876e-14,36
1,202.53490948359013,4.547473508864641e-13,2.2452788610415274e-15,40
1,202.53490948359013,1.3358203432289883e-12,6.5955066543094875e-15,44
1,202.53490948359013,3.979039320256561e-13,1.9646190034113364e-15,48
1,202.53490948359013,3.410605131648481e-13,1.6839591457811457e-15,52
1,202.53490948359013,7.673861546209082e-13,3.788908078007578e-15,56
1,202.53490948359013,8.526512829121202e-14,4.209897864452864e-16,60
1,202.53490948359013,5.684341886080801e-13,2.8065985763019094e-15,64
