n_atoms,energy_ewald,energy_fssog,error,error_rel
1000,-10.678361090503806,-10.678360906900105,1.8360370113157387e-7,1.7193996304812297e-8
3164,-14.834028792154413,-14.834025288854534,3.503299879525912e-6,2.361664473361934e-7
10000,-41.05993976998465,-41.05993832294655,1.4470381017872569e-6,3.5242090219651526e-8
31624,-20.628480196981968,-20.628491210258233,1.1013276264293381e-5,5.338869446089716e-7
100000,-218.91251331880585,-218.91247147137005,4.184743579571659e-5,1.9116054702077944e-7
1000,-10.678361090503806,-10.67836090689373,1.8361007647627048e-7,1.7194593338818038e-8
3164,-14.834028792154413,-14.834025288850789,3.5033036240861293e-6,2.3616669976662008e-7
10000,-41.05993976998465,-41.059938323015075,1.4469695770458202e-6,3.5240421324328725e-8
31624,-20.628480196981968,-20.62849121018519,1.1013203220500145e-5,5.338834036892074e-7
100000,-218.91251331880585,-218.9124714712625,4.184754334346508e-5,1.911610383026475e-7
